3,0.00,PNumber:,Gender:,Age:
1,24.71,0.00,270.90,0.00
0,24.76,553.93,31.96,618.22
1,24.76,0.00,271.60,0.00
1,24.81,0.00,272.31,0.00
0,24.86,553.34,31.95,618.24
1,24.86,0.00,273.02,0.00
1,24.91,0.00,273.72,0.00
0,24.96,552.74,31.96,618.28
1,24.96,0.00,274.43,0.00
1,25.01,0.00,275.14,0.00
0,25.06,552.15,31.96,618.33
1,25.06,0.00,275.84,0.00
1,25.11,0.00,276.55,0.00
0,25.16,551.56,31.96,618.40
1,25.16,0.00,277.25,0.00
1,25.21,0.00,277.97,0.00
0,25.26,550.96,31.96,618.48
1,25.26,0.00,278.67,0.00
1,25.31,0.00,279.37,0.00
0,25.36,550.38,31.96,618.57
1,25.36,0.00,280.08,0.00
1,25.41,0.00,280.79,0.00
0,25.46,549.79,31.96,618.68
1,25.46,0.00,281.49,0.00
1,25.51,0.00,282.20,0.00
0,25.56,549.21,31.96,618.81
1,25.56,0.00,282.90,0.00
1,25.61,0.00,283.62,0.00
0,25.66,548.63,31.96,618.95
1,25.66,0.00,284.32,0.00
1,25.71,0.00,285.02,0.00
0,25.76,548.05,31.96,619.10
1,25.76,0.00,285.73,0.00
1,25.81,0.00,286.44,0.00
0,25.86,547.48,31.96,619.27
1,25.86,0.00,287.14,0.00
0,25.96,546.83,31.96,619.47
0,26.03,546.29,31.95,619.64
0,26.11,545.52,31.96,619.88
0,26.16,545.05,31.96,620.03
0,26.21,544.56,31.96,620.19
0,26.28,543.93,31.96,620.39
0,26.36,543.14,31.96,620.64
0,26.41,542.66,31.96,620.79
0,26.48,542.02,31.96,620.99
0,26.56,541.23,31.96,621.24
1,26.58,0.00,287.65,0.00
0,26.61,540.75,31.96,621.40
0,26.66,540.27,31.96,621.55
1,26.68,0.00,288.20,0.00
0,26.73,539.65,31.96,621.76
1,26.76,0.00,288.73,0.00
0,26.78,539.17,31.96,621.92
0,26.83,538.70,31.96,622.08
1,26.86,0.00,289.36,0.00
0,26.88,538.22,31.96,622.25
0,26.96,537.44,31.96,622.53
1,26.96,0.00,290.01,0.00
0,27.01,536.97,31.96,622.70
1,27.06,0.00,290.64,0.00
0,27.08,536.34,31.96,622.93
0,27.16,535.57,31.96,623.23
1,27.16,0.00,291.28,0.00
0,27.21,535.10,31.96,623.41
1,27.26,0.00,291.92,0.00
0,27.28,534.48,31.96,623.66
0,27.36,533.71,31.96,623.98
1,27.36,0.00,292.56,0.00
0,27.41,533.24,31.96,624.17
1,27.46,0.00,293.20,0.00
0,27.48,532.63,31.96,624.43
0,27.56,531.87,31.96,624.76
1,27.56,0.00,293.84,0.00
0,27.61,531.41,31.96,624.97
1,27.66,0.00,294.48,0.00
0,27.68,530.80,31.96,625.24
0,27.76,530.05,31.96,625.59
1,27.76,0.00,295.11,0.00
0,27.81,529.59,31.96,625.80
1,27.86,0.00,295.75,0.00
0,27.88,528.99,31.96,626.09
0,27.96,528.25,31.96,626.46
1,27.96,0.00,296.39,0.00
0,28.01,527.79,31.96,626.68
1,28.06,0.00,297.03,0.00
0,28.08,527.20,31.96,626.98
0,28.16,526.46,31.96,627.36
0,28.21,526.01,31.96,627.59
0,28.26,525.57,31.96,627.82
0,28.31,525.12,31.96,628.05
0,28.38,524.54,31.96,628.36
0,28.43,524.08,31.96,628.59
