3,0.00,PNumber:,Gender:,Age:
0,19.04,595.08,32.06,615.76
1,19.05,0.00,117.25,0.00
0,19.10,595.68,32.06,615.45
1,19.14,0.00,116.55,0.00
0,19.18,596.41,32.05,615.08
0,19.24,596.87,32.05,614.86
0,19.30,597.46,32.05,614.56
0,19.38,598.20,32.06,614.19
0,19.44,598.66,32.06,613.97
0,19.52,599.37,32.06,613.61
0,19.57,599.83,32.06,613.39
0,19.63,600.43,32.07,613.09
0,19.72,601.17,32.07,612.72
0,19.79,601.79,32.07,612.41
0,19.84,602.24,32.07,612.19
0,19.90,602.83,32.07,611.89
0,19.98,603.57,32.07,611.53
0,20.03,604.02,32.07,611.30
0,20.10,604.62,32.07,611.01
0,20.18,605.36,32.07,610.64
0,20.23,605.81,32.07,610.41
0,20.30,606.41,32.07,610.12
0,20.38,607.15,32.07,609.75
0,20.43,607.61,32.07,609.52
0,20.50,608.21,32.07,609.22
0,20.57,608.79,32.07,608.94
0,20.63,609.38,32.07,608.64
0,20.69,609.86,32.08,608.40
0,20.75,610.43,32.08,608.12
0,20.83,611.18,32.08,607.74
0,20.90,611.78,32.08,607.45
0,20.98,612.52,32.09,607.08
0,21.03,612.98,32.09,606.85
0,21.10,613.58,32.09,606.56
0,21.18,614.32,32.09,606.19
0,21.23,614.77,32.08,605.96
0,21.30,615.37,32.08,605.66
0,21.38,616.11,32.07,605.30
0,21.43,616.56,32.07,605.07
0,21.50,617.16,32.07,604.77
0,21.55,617.61,32.06,604.55
0,21.62,618.19,32.06,604.26
0,21.67,618.64,32.07,604.04
0,21.74,619.26,32.06,603.73
0,21.79,619.71,32.05,603.51
0,21.84,620.16,32.05,603.28
0,21.90,620.76,32.04,602.98
0,21.99,621.50,32.03,602.62
0,22.04,621.95,32.03,602.39
0,22.10,622.55,32.03,602.09
0,22.19,623.29,32.02,601.73
0,22.24,623.75,32.01,601.50
0,22.30,624.34,32.01,601.20
0,22.35,624.80,32.00,600.98
0,22.44,625.54,32.00,600.61
0,22.50,626.14,32.00,600.31
0,22.59,626.88,32.00,599.94
0,22.65,627.45,32.00,599.66
0,22.70,627.91,32.00,599.43
0,22.75,628.37,32.00,599.20
0,22.84,629.11,32.00,598.83
0,22.90,629.71,32.00,598.54
0,22.99,630.45,32.00,598.17
0,23.04,630.90,32.00,597.95
0,23.10,631.50,32.00,597.65
0,23.19,632.24,32.00,597.28
0,23.24,632.70,32.00,597.05
0,23.30,633.29,32.00,596.76
0,23.39,634.04,32.00,596.38
1,23.39,0.00,117.06,0.00
0,23.44,634.49,32.00,596.15
1,23.49,0.00,117.75,0.00
0,23.50,635.08,32.00,595.84
0,23.59,635.81,31.99,595.45
1,23.59,0.00,118.43,0.00
0,23.64,636.26,32.00,595.21
0,23.70,636.82,32.00,594.90
0,23.75,637.28,32.00,594.65
0,23.80,637.72,31.99,594.41
0,23.85,638.16,31.99,594.17
0,23.91,638.60,31.99,593.92
0,23.99,639.33,31.99,593.52
0,24.04,639.77,31.99,593.28
0,24.11,640.35,31.99,592.96
0,24.19,641.08,31.98,592.56
0,24.24,641.52,31.98,592.32
0,24.31,642.11,31.98,591.99
0,24.39,642.82,31.98,591.61
0,24.45,643.39,31.98,591.29
0,24.50,643.84,31.97,591.04
0,24.55,644.30,31.97,590.79
0,24.60,644.73,31.97,590.55
0,24.69,645.46,31.97,590.15
0,24.75,646.03,31.97,589.84
0,24.84,646.79,31.96,589.42
0,24.91,647.37,31.96,589.10
0,24.99,648.10,31.96,588.70
0,25.04,648.54,31.96,588.46
0,25.11,649.13,31.96,588.14
0,25.19,649.85,31.96,587.74
0,25.24,650.29,31.96,587.50
0,25.31,650.88,31.96,587.18
0,25.39,651.60,31.96,586.78
0,25.44,652.05,31.96,586.53
0,25.51,652.63,31.96,586.21
0,25.59,653.36,31.96,585.81
0,25.64,653.80,31.96,585.57
0,25.71,654.39,31.96,585.25
0,25.79,655.09,31.96,584.86
0,25.84,655.53,31.96,584.62
0,25.89,655.99,31.96,584.37
0,25.94,656.43,31.96,584.13
0,25.99,656.86,31.96,583.89
0,26.04,657.31,31.96,583.64
0,26.11,657.89,31.96,583.32
0,26.19,658.62,31.96,582.92
0,26.24,659.06,31.96,582.68
0,26.31,659.65,31.96,582.36
0,26.39,660.37,31.96,581.96
0,26.44,660.82,31.96,581.71
0,26.51,661.40,31.96,581.39
0,26.59,662.13,31.96,580.99
0,26.65,662.69,31.96,580.68
0,26.70,663.13,31.96,580.44
0,26.79,663.87,31.96,580.04
0,26.84,664.31,31.96,579.79
0,26.91,664.90,31.96,579.47
0,26.99,665.62,31.96,579.07
0,27.04,666.07,31.96,578.83
0,27.11,666.65,31.96,578.51
0,27.19,667.38,31.96,578.11
0,27.24,667.82,31.96,577.87
0,27.31,668.41,31.96,577.54
0,27.39,669.13,31.96,577.15
0,27.44,669.57,31.96,576.90
0,27.51,670.16,31.96,576.58
0,27.59,670.89,31.96,576.18
0,27.64,671.33,31.96,575.94
0,27.71,671.91,31.96,575.62
0,27.79,672.64,31.96,575.22
0,27.84,673.08,31.96,574.97
0,27.90,673.65,31.96,574.66
0,27.97,674.22,31.96,574.35
0,28.04,674.85,31.96,574.00
0,28.11,675.43,31.96,573.68
0,28.19,676.16,31.96,573.28
0,28.25,676.72,31.96,572.98
0,28.31,677.19,31.96,572.72
0,28.39,677.91,31.96,572.32
0,28.44,678.36,31.96,572.08
0,28.51,678.94,31.96,571.76
0,28.58,679.52,31.96,571.43
0,28.64,680.11,31.96,571.11
0,28.71,680.69,31.96,570.79
0,28.78,681.28,31.96,570.47
0,28.84,681.87,31.96,570.15
0,28.91,682.43,31.96,569.84
0,28.99,683.16,31.96,569.43
0,29.04,683.62,31.96,569.19
0,29.11,684.20,31.96,568.87
0,29.18,684.79,31.96,568.54
0,29.26,685.51,31.96,568.15
0,29.32,686.01,31.96,567.87
0,29.39,686.66,31.96,567.52
0,29.44,687.12,31.96,567.26
0,29.51,687.71,31.96,566.94
0,29.58,688.30,31.96,566.62
0,29.66,689.02,31.96,566.22
0,29.71,689.47,31.96,565.97
0,29.78,690.05,31.96,565.65
0,29.86,690.78,31.96,565.25
0,29.91,691.22,31.96,565.01
0,29.99,691.93,31.96,564.62
0,30.04,692.39,31.96,564.37
0,30.11,692.96,31.96,564.05
0,30.18,693.54,31.96,563.73
0,30.24,694.13,31.96,563.41
0,30.31,694.71,31.96,563.09
0,30.38,695.30,31.96,562.77
0,30.44,695.88,31.96,562.45
0,30.51,696.48,31.96,562.12
0,30.58,697.06,31.96,561.80
0,30.64,697.60,31.96,561.50
0,30.69,698.06,31.96,561.25
0,30.76,698.65,31.96,560.93
0,30.81,699.10,31.96,560.68
0,30.86,699.54,31.96,560.44
0,30.91,699.99,31.96,560.19
0,30.98,700.56,31.96,559.88
0,31.04,701.14,31.96,559.56
0,31.11,701.74,31.96,559.23
0,31.18,702.32,31.96,558.91
0,31.26,703.05,31.96,558.51
0,31.31,703.49,31.96,558.26
0,31.38,704.08,31.96,557.94
0,31.46,704.80,31.96,557.55
0,31.51,705.25,31.96,557.30
0,31.58,705.83,31.96,556.98
0,31.66,706.56,31.96,556.58
0,31.71,707.00,31.96,556.34
0,31.78,707.59,31.96,556.01
0,31.86,708.31,31.96,555.62
0,31.91,708.76,31.96,555.37
0,31.98,709.35,31.96,555.05
0,32.04,709.90,31.95,554.74
0,32.11,710.50,31.96,554.42
0,32.16,710.94,31.96,554.17
0,32.23,711.53,31.96,553.85
0,32.31,712.26,31.96,553.45
0,32.38,712.85,31.96,553.13
0,32.46,713.57,31.96,552.73
0,32.51,714.01,31.96,552.48
0,32.58,714.60,31.96,552.16
0,32.66,715.32,31.96,551.77
0,32.71,715.77,31.96,551.52
0,32.78,716.35,31.96,551.20
0,32.86,717.08,31.96,550.80
0,32.91,717.52,31.96,550.56
0,32.98,718.11,31.96,550.24
0,33.06,718.83,31.96,549.84
0,33.13,719.39,31.96,549.53
0,33.18,719.86,31.96,549.27
0,33.26,720.59,31.96,548.87
0,33.33,721.15,31.96,548.56
0,33.38,721.62,31.96,548.31
0,33.46,722.34,31.96,547.91
0,33.52,722.83,31.96,547.64
0,33.58,723.37,31.96,547.35
0,33.66,724.09,31.96,546.95
0,33.71,724.54,31.96,546.70
0,33.78,725.12,31.96,546.38
0,33.86,725.85,31.96,545.98
0,33.91,726.29,31.96,545.74
0,33.98,726.87,31.96,545.42
0,34.06,727.60,31.96,545.02
0,34.11,728.05,31.96,544.77
0,34.18,728.61,31.96,544.47
0,34.23,729.05,31.96,544.22
0,34.28,729.49,31.96,543.98
0,34.33,729.93,31.96,543.74
0,34.38,730.39,31.96,543.49
0,34.46,731.09,31.96,543.10
0,34.51,731.55,31.96,542.85
0,34.58,732.14,31.96,542.52
0,34.66,732.86,31.96,542.13
0,34.73,733.43,31.96,541.82
0,34.78,733.88,31.96,541.57
0,34.86,734.60,31.96,541.17
0,34.91,735.05,31.96,540.93
0,34.98,735.63,31.96,540.61
0,35.06,736.36,31.96,540.21
0,35.11,736.80,31.96,539.96
0,35.18,737.38,31.96,539.64
0,35.26,738.13,31.96,539.23
0,35.31,738.57,31.96,538.99
0,35.38,739.15,31.96,538.68
0,35.46,739.87,31.96,538.28
0,35.51,740.31,31.96,538.03
0,35.58,740.90,31.96,537.71
0,35.66,741.63,31.96,537.31
0,35.71,742.07,31.96,537.07
0,35.78,742.65,31.96,536.75
0,35.86,743.39,31.96,536.34
0,35.91,743.83,31.96,536.10
0,36.00,744.55,31.96,535.71
0,36.06,745.12,31.96,535.39
0,36.11,745.56,31.96,535.15
0,36.16,746.02,31.96,534.90
0,36.23,746.59,31.96,534.58
0,36.28,747.04,31.96,534.34
0,36.33,747.48,31.96,534.09
0,36.38,747.93,31.96,533.85
0,36.45,748.51,31.96,533.53
0,36.51,749.07,31.96,533.22
0,36.58,749.67,31.96,532.89
0,36.63,750.11,31.96,532.65
0,36.68,750.55,31.96,532.41
0,36.76,751.28,31.96,532.01
0,36.83,751.87,31.96,531.68
0,36.92,752.56,31.96,531.30
0,36.98,753.02,31.96,531.05
0,37.06,753.49,31.96,530.79
0,37.18,753.95,31.96,530.54
1,37.37,0.00,117.44,0.00
1,37.42,0.00,115.90,0.00
1,37.43,0.00,115.23,0.00
1,37.47,0.00,113.87,0.00
1,37.48,0.00,113.19,0.00
1,37.52,0.00,111.81,0.00
1,37.53,0.00,111.13,0.00
1,37.57,0.00,109.73,0.00
1,37.58,0.00,108.99,0.00
1,37.62,0.00,107.62,0.00
1,37.63,0.00,106.91,0.00
1,37.67,0.00,105.51,0.00
1,37.68,0.00,104.80,0.00
1,37.72,0.00,103.36,0.00
1,37.73,0.00,102.70,0.00
1,37.77,0.00,101.31,0.00
1,37.78,0.00,100.58,0.00
1,37.82,0.00,99.23,0.00
1,37.83,0.00,98.54,0.00
1,37.87,0.00,97.15,0.00
1,37.88,0.00,96.44,0.00
1,37.92,0.00,95.02,0.00
1,37.93,0.00,94.37,0.00
1,37.97,0.00,92.98,0.00
1,37.98,0.00,92.26,0.00
1,38.02,0.00,90.90,0.00
1,38.03,0.00,90.19,0.00
1,38.05,0.00,89.47,0.00
1,38.08,0.00,88.12,0.00
1,38.12,0.00,86.70,0.00
1,38.13,0.00,86.03,0.00
1,38.17,0.00,84.63,0.00
1,38.18,0.00,83.91,0.00
1,38.22,0.00,82.54,0.00
1,38.23,0.00,81.84,0.00
1,38.25,0.00,81.13,0.00
1,38.28,0.00,79.74,0.00
1,38.32,0.00,78.40,0.00
1,38.33,0.00,77.74,0.00
1,38.36,0.00,76.37,0.00
1,38.38,0.00,75.56,0.00
1,38.42,0.00,74.20,0.00
1,38.43,0.00,73.50,0.00
1,38.45,0.00,72.78,0.00
1,38.48,0.00,71.42,0.00
1,38.52,0.00,70.01,0.00
1,38.53,0.00,69.33,0.00
1,38.55,0.00,68.63,0.00
1,38.58,0.00,67.21,0.00
1,38.60,0.00,66.54,0.00
1,38.63,0.00,65.16,0.00
1,38.65,0.00,64.44,0.00
1,38.68,0.00,63.07,0.00
1,38.70,0.00,62.38,0.00
1,38.73,0.00,60.98,0.00
1,38.75,0.00,60.30,0.00
1,38.78,0.00,58.85,0.00
1,38.80,0.00,58.19,0.00
1,38.83,0.00,56.80,0.00
1,38.85,0.00,56.08,0.00
1,38.88,0.00,54.72,0.00
1,38.92,0.00,53.29,0.00
1,38.93,0.00,52.64,0.00
1,38.96,0.00,51.38,0.00
1,38.98,0.00,50.53,0.00
1,39.00,0.00,49.86,0.00
1,39.03,0.00,48.45,0.00
1,39.05,0.00,47.73,0.00
1,39.08,0.00,46.38,0.00
1,39.10,0.00,45.69,0.00
1,39.13,0.00,44.28,0.00
2,39.32,Shed
0,40.54,753.82,31.96,530.05
0,40.74,753.46,31.96,529.67
0,40.94,753.09,31.96,529.29
0,41.14,752.73,31.96,528.91
0,41.34,752.37,31.96,528.53
0,41.54,752.00,31.96,528.14
0,41.74,751.64,31.96,527.77
0,41.94,751.27,31.96,527.39
0,42.14,750.91,31.96,527.01
0,42.34,750.54,31.96,526.63
0,42.53,750.18,31.96,526.25
0,42.74,749.82,31.96,525.87
1,43.90,0.00,45.16,0.00
1,43.94,0.00,46.14,0.00
1,43.95,0.00,46.66,0.00
1,43.99,0.00,47.71,0.00
1,44.04,0.00,49.25,0.00
1,44.05,0.00,49.79,0.00
1,44.09,0.00,50.80,0.00
1,44.10,0.00,51.31,0.00
1,44.14,0.00,52.33,0.00
1,44.15,0.00,52.84,0.00
1,44.19,0.00,53.88,0.00
1,44.24,0.00,55.39,0.00
1,44.25,0.00,55.92,0.00
1,44.29,0.00,56.92,0.00
1,44.30,0.00,57.43,0.00
1,44.34,0.00,58.45,0.00
1,44.35,0.00,58.96,0.00
1,44.39,0.00,60.00,0.00
1,44.44,0.00,61.51,0.00
1,44.45,0.00,62.04,0.00
1,44.49,0.00,63.05,0.00
1,44.54,0.00,64.48,0.00
1,44.59,0.00,65.78,0.00
1,44.64,0.00,66.98,0.00
1,44.69,0.00,68.12,0.00
1,44.74,0.00,69.26,0.00
1,44.79,0.00,70.35,0.00
1,44.84,0.00,71.40,0.00
1,44.89,0.00,72.48,0.00
1,44.94,0.00,73.55,0.00
1,44.99,0.00,74.63,0.00
1,45.04,0.00,75.68,0.00
1,45.09,0.00,76.75,0.00
1,45.14,0.00,77.82,0.00
1,45.19,0.00,78.88,0.00
1,45.24,0.00,79.82,0.00
1,45.29,0.00,80.64,0.00
1,45.34,0.00,81.47,0.00
1,45.39,0.00,82.31,0.00
1,45.44,0.00,83.13,0.00
1,45.49,0.00,84.00,0.00
1,45.54,0.00,84.92,0.00
1,45.59,0.00,85.83,0.00
1,45.64,0.00,86.66,0.00
1,45.69,0.00,87.62,0.00
1,45.74,0.00,88.52,0.00
1,45.79,0.00,89.43,0.00
1,45.84,0.00,90.30,0.00
1,45.89,0.00,91.20,0.00
1,45.94,0.00,92.10,0.00
1,45.99,0.00,93.01,0.00
1,46.04,0.00,93.91,0.00
1,46.09,0.00,94.80,0.00
1,46.14,0.00,95.70,0.00
1,46.19,0.00,96.63,0.00
1,46.24,0.00,97.51,0.00
1,46.29,0.00,98.41,0.00
1,46.34,0.00,99.31,0.00
1,46.39,0.00,100.22,0.00
1,46.44,0.00,101.11,0.00
1,46.49,0.00,102.01,0.00
1,46.54,0.00,102.91,0.00
1,46.59,0.00,103.82,0.00
1,46.64,0.00,104.67,0.00
1,46.69,0.00,105.58,0.00
1,46.74,0.00,106.53,0.00
1,46.79,0.00,107.44,0.00
1,46.84,0.00,108.33,0.00
1,46.89,0.00,109.23,0.00
1,46.94,0.00,110.13,0.00
1,46.99,0.00,111.04,0.00
1,47.04,0.00,111.93,0.00
1,47.09,0.00,112.83,0.00
1,47.14,0.00,113.73,0.00
1,47.19,0.00,114.65,0.00
1,47.24,0.00,115.52,0.00
1,47.29,0.00,116.39,0.00
1,47.34,0.00,117.27,0.00
1,47.39,0.00,118.18,0.00
1,47.44,0.00,119.07,0.00
1,47.49,0.00,119.97,0.00
1,47.54,0.00,120.87,0.00
1,47.59,0.00,121.78,0.00
1,47.64,0.00,122.67,0.00
1,47.69,0.00,123.52,0.00
1,47.74,0.00,124.43,0.00
1,47.79,0.00,125.38,0.00
1,47.84,0.00,126.27,0.00
1,47.89,0.00,127.17,0.00
1,47.94,0.00,128.07,0.00
1,47.99,0.00,128.98,0.00
1,48.04,0.00,129.87,0.00
1,48.09,0.00,130.77,0.00
1,48.14,0.00,131.67,0.00
1,48.19,0.00,132.58,0.00
1,48.24,0.00,133.47,0.00
1,48.29,0.00,134.37,0.00
1,48.34,0.00,135.27,0.00
1,48.39,0.00,135.81,0.00
0,48.69,750.04,31.96,525.32
0,48.79,750.43,31.96,524.93
0,48.89,750.94,31.96,524.40
0,48.96,751.35,31.96,523.98
0,49.01,751.70,31.96,523.61
0,49.09,752.27,31.96,523.03
0,49.14,752.63,31.96,522.66
0,49.21,753.10,31.96,522.18
0,49.29,753.67,31.96,521.59
0,49.34,754.03,31.96,521.22
0,49.41,754.49,31.96,520.74
0,49.48,754.96,31.96,520.26
0,49.54,755.42,31.96,519.79
0,49.61,755.89,31.96,519.31
0,49.69,756.47,31.96,518.71
0,49.76,756.94,31.96,518.23
0,49.84,757.52,31.96,517.63
0,49.91,757.98,31.96,517.16
0,49.98,758.45,31.96,516.68
0,50.06,759.02,31.96,516.08
