3,0.00,PNumber:12312123,Gender:asd,Age:asdas
1,23.26,45.57,37.18,0.00
1,23.28,45.57,39.26,0.00
1,23.31,45.57,43.30,0.00
1,23.33,45.70,45.26,0.00
1,23.36,46.80,49.35,0.00
1,23.38,47.60,51.30,0.00
1,23.41,49.17,55.11,0.00
1,23.43,50.03,57.02,0.00
1,23.46,51.66,58.43,0.00
1,23.48,51.66,57.32,0.00
1,23.51,51.66,53.18,0.00
1,23.53,51.66,51.21,0.00
1,23.56,51.66,47.17,0.00
1,23.58,51.05,45.17,0.00
1,23.61,49.16,44.16,0.00
1,23.63,47.88,45.84,0.00
1,23.66,46.63,49.50,0.00
1,23.68,46.63,51.56,0.00
1,23.71,46.63,55.71,0.00
1,23.73,46.63,57.68,0.00
1,23.76,46.63,61.72,0.00
1,23.78,46.63,63.80,0.00
1,23.81,46.63,67.60,0.00
1,23.83,46.63,68.68,0.00
4,33.19,838.48,30.73,1261.14,0.00,0.00,0.00
3,33.19,[StartPoint]PlayerPos:(838.5, 30.7, 1261.1),TargetName:Shed,TargetPos:(762.8, 30.8, 547.1)
0,33.19,838.48,30.73,1261.14
1,33.19,46.63,0.00,0.00
1,34.09,45.76,359.89,0.00
1,34.10,44.18,359.37,0.00
1,34.14,40.47,357.86,0.00
1,34.15,38.61,357.07,0.00
1,34.19,34.90,355.51,0.00
1,34.20,33.18,354.78,0.00
1,34.24,29.61,353.26,0.00
1,34.27,25.82,351.64,0.00
1,34.28,25.12,351.34,0.00
1,34.30,22.32,350.17,0.00
1,34.34,18.59,348.62,0.00
1,34.36,16.77,347.92,0.00
1,34.39,12.67,347.28,0.00
1,34.41,10.73,347.28,0.00
1,34.44,6.91,347.28,0.00
1,34.46,5.82,347.28,0.00
1,34.71,5.36,346.38,0.00
1,34.74,5.36,342.45,0.00
1,34.76,5.36,340.36,0.00
1,34.79,5.36,336.31,0.00
1,34.81,5.36,334.22,0.00
1,34.84,5.36,330.23,0.00
1,34.86,5.36,328.09,0.00
1,34.89,5.36,324.07,0.00
1,34.91,5.36,322.01,0.00
1,34.94,5.36,317.91,0.00
1,34.96,5.36,315.84,0.00
1,34.99,5.36,311.80,0.00
1,35.01,5.36,309.61,0.00
1,35.04,5.36,305.62,0.00
1,35.07,5.36,301.65,0.00
1,35.08,5.36,300.63,0.00
1,35.11,5.36,297.43,0.00
1,35.14,5.36,293.32,0.00
1,35.16,5.36,291.27,0.00
1,35.19,5.36,287.21,0.00
1,35.22,5.36,284.18,0.00
1,35.23,5.36,282.06,0.00
1,35.26,5.36,278.32,0.00
1,35.28,5.36,276.65,0.00
1,35.31,5.36,272.74,0.00
1,35.34,5.36,268.71,0.00
1,35.36,5.36,266.64,0.00
1,35.38,5.36,264.56,0.00
1,35.41,5.36,260.54,0.00
1,35.43,5.36,258.04,0.00
1,35.46,5.36,253.98,0.00
1,35.48,5.36,251.73,0.00
