3,0.00,PNumber:999,Gender:,Age:
1,57.50,2.73,29.71,0.00
1,57.54,0.99,29.56,0.00
1,57.55,0.14,29.48,0.00
1,57.59,358.63,29.31,0.00
1,57.84,358.36,28.46,0.00
1,57.89,358.36,27.55,0.00
1,57.94,358.36,26.63,0.00
1,57.99,358.36,25.70,0.00
1,58.04,358.36,24.78,0.00
1,58.09,358.36,23.86,0.00
1,58.13,358.36,23.13,0.00
1,58.19,358.73,22.14,0.00
1,58.24,0.09,22.02,0.00
1,58.26,0.62,22.02,0.00
1,58.29,1.88,22.02,0.00
1,58.31,2.55,22.16,0.00
1,58.34,3.67,23.05,0.00
1,58.36,4.07,23.72,0.00
1,58.39,4.35,24.90,0.00
1,58.64,4.02,25.35,0.00
1,58.66,3.34,25.98,0.00
1,58.69,1.94,27.23,0.00
1,58.71,1.22,27.87,0.00
1,58.74,359.85,28.79,0.00
1,58.79,359.28,28.84,0.00
1,59.41,359.92,28.84,0.00
1,59.44,0.87,28.84,0.00
1,59.49,2.33,28.84,0.00
3,59.91,[EndPoint]PointAngle:(2.4, 28.8, 0.0),PointDir:(0.5, 0.0, 0.9)
4,59.91,838.48,30.73,1261.14,0.00,0.00,0.00
3,59.91,[StartPoint]PlayerPos:(838.5, 30.7, 1261.1),TargetName:Home,TargetPos:(559.8, 33.6, 666.0)
0,59.91,838.48,30.73,1261.14
1,59.91,2.38,0.00,0.00
1,60.40,2.38,0.61,0.00
1,60.44,2.38,3.69,0.00
1,60.46,2.38,5.65,0.00
1,60.49,2.38,9.83,0.00
1,60.51,2.38,11.78,0.00
1,60.54,2.38,15.95,0.00
1,60.56,2.38,17.90,0.00
1,60.59,2.38,22.07,0.00
1,60.61,2.38,24.12,0.00
1,60.64,2.38,28.22,0.00
1,60.66,2.38,30.16,0.00
1,60.69,2.21,34.33,0.00
1,60.71,1.89,36.27,0.00
1,60.74,0.93,39.45,0.00
1,60.76,0.29,40.79,0.00
1,60.79,358.93,43.27,0.00
1,60.81,358.21,44.50,0.00
1,60.84,356.69,46.79,0.00
1,60.86,355.89,47.98,0.00
1,60.89,354.28,50.38,0.00
1,60.91,353.57,51.51,0.00
1,60.94,352.09,53.89,0.00
1,60.96,351.63,54.96,0.00
1,60.99,351.45,55.89,0.00
1,61.26,351.45,56.60,0.00
1,61.29,351.78,58.68,0.00
1,61.31,352.21,60.17,0.00
1,61.34,353.23,63.86,0.00
1,61.36,353.74,65.78,0.00
1,61.39,354.76,69.59,0.00
1,61.41,355.28,71.55,0.00
1,61.44,355.82,74.89,0.00
1,61.46,355.82,75.52,0.00
1,61.61,355.85,77.00,0.00
1,61.64,356.01,80.15,0.00
1,61.66,356.23,82.19,0.00
1,61.69,356.81,86.40,0.00
1,61.71,357.08,88.29,0.00
1,61.74,357.67,92.43,0.00
1,61.76,357.96,94.41,0.00
1,61.79,358.55,98.58,0.00
1,61.81,358.74,100.30,0.00
1,61.84,358.74,101.30,0.00
1,62.04,359.05,103.63,0.00
1,62.06,359.38,105.05,0.00
1,62.09,0.25,108.82,0.00
1,62.11,0.68,110.77,0.00
1,62.14,1.57,114.79,0.00
1,62.16,1.99,116.70,0.00
1,62.19,2.62,120.47,0.00
1,62.21,2.62,121.10,0.00
1,62.39,2.62,122.26,0.00
1,62.41,2.62,123.59,0.00
1,62.44,2.62,127.07,0.00
1,62.46,2.62,129.17,0.00
1,62.48,2.62,131.28,0.00
1,62.51,2.62,135.29,0.00
1,62.53,2.62,137.36,0.00
1,62.56,2.62,141.38,0.00
1,62.59,2.62,145.48,0.00
1,62.61,2.62,147.60,0.00
1,62.64,2.62,151.61,0.00
1,62.66,2.62,153.64,0.00
1,62.68,2.62,155.78,0.00
1,62.71,2.62,159.76,0.00
1,62.74,2.62,163.97,0.00
1,62.76,2.62,165.94,0.00
1,62.79,2.62,170.00,0.00
1,62.82,2.62,173.07,0.00
1,62.83,2.62,174.92,0.00
1,62.86,2.62,178.22,0.00
1,62.88,2.62,180.35,0.00
1,62.91,2.62,184.38,0.00
1,62.93,2.62,186.19,0.00
1,62.96,2.62,187.79,0.00
1,63.16,2.62,189.59,0.00
1,63.18,2.62,190.78,0.00
1,63.21,2.62,193.89,0.00
1,63.23,2.62,195.50,0.00
1,63.26,2.62,198.82,0.00
1,63.28,2.62,200.31,0.00
1,63.31,2.62,200.95,0.00
1,63.51,2.62,200.33,0.00
1,63.53,2.40,199.43,0.00
1,63.56,1.31,195.90,0.00
1,63.58,0.68,193.96,0.00
1,63.61,359.39,190.03,0.00
1,63.63,358.77,188.15,0.00
1,63.66,357.49,184.26,0.00
1,63.68,356.84,182.27,0.00
1,63.71,355.63,178.46,0.00
1,63.73,355.29,176.56,0.00
1,63.76,354.85,174.81,0.00
1,63.93,355.59,175.89,0.00
1,63.96,356.56,178.71,0.00
1,63.98,357.06,180.32,0.00
1,64.01,358.27,183.77,0.00
1,64.03,358.91,185.43,0.00
1,64.06,0.09,188.86,0.00
1,64.08,0.51,190.30,0.00
1,64.11,0.56,190.95,0.00
1,64.23,0.56,191.68,0.00
1,64.26,0.56,194.58,0.00
1,64.28,0.56,196.69,0.00
1,64.31,0.56,200.72,0.00
1,64.33,0.56,202.75,0.00
1,64.36,0.56,205.37,0.00
1,64.63,359.95,204.30,0.00
1,64.66,359.02,202.72,0.00
1,64.68,358.55,201.91,0.00
1,64.71,358.14,200.38,0.00
1,65.13,358.14,199.83,0.00
1,65.21,358.14,199.09,0.00
1,65.28,358.14,198.49,0.00
1,65.33,358.14,197.98,0.00
1,65.38,358.14,197.36,0.00
1,65.56,359.06,197.36,0.00
1,65.58,359.64,197.36,0.00
1,65.61,0.98,197.40,0.00
1,65.96,0.46,198.18,0.00
1,66.01,359.14,198.31,0.00
3,66.35,[EndPoint]PointAngle:(359.0, 198.3, 0.0),PointDir:(-0.3, 0.0, -0.9)
4,66.35,559.80,33.56,665.99,0.00,0.00,0.00
3,66.35,[StartPoint]PlayerPos:(559.8, 33.6, 666.0),TargetName:Shed,TargetPos:(762.8, 30.8, 547.1)
